"Date","Price","Open","High","Low","Vol.","Change %"
"03.01.2024","189,13","188,77","189,86","188,16","8,66M","-0,83%"
"02.01.2024","190,72","191,44","191,89","190,50","6,03M","-0,24%"
"29.12.2023","191,17","190,99","191,64","190,74","4,61M","-0,16%"
"28.12.2023","191,47","192,34","192,89","191,44","6,17M","-0,58%"
"27.12.2023","192,59","191,77","193,18","191,54","5,81M","0,45%"
"26.12.2023","191,72","190,97","191,74","190,40","4,50M","0,76%"
"22.12.2023","190,27","191,60","191,88","190,07","7,18M","0,44%"
"21.12.2023","189,43","189,21","189,62","188,75","4,62M","0,71%"
"20.12.2023","188,10","188,69","188,96","188,09","6,00M","-0,54%"
"19.12.2023","189,13","188,23","189,72","188,13","6,03M","0,68%"
"18.12.2023","187,85","187,50","188,49","187,24","5,36M","0,45%"
"15.12.2023","187,00","188,52","188,96","186,82","8,32M","-0,92%"
"14.12.2023","188,73","188,86","189,82","188,08","9,11M","0,59%"
"13.12.2023","187,63","183,82","187,66","183,38","10,64M","2,26%"
"12.12.2023","183,49","183,84","183,98","183,26","5,06M","-0,05%"
"11.12.2023","183,59","184,50","184,53","183,15","8,52M","-1,10%"
"08.12.2023","185,64","185,93","186,78","184,90","7,88M","-1,33%"
"07.12.2023","188,15","188,45","188,59","187,26","5,80M","0,17%"
"06.12.2023","187,84","188,32","188,46","187,50","5,78M","0,37%"
"05.12.2023","187,15","187,55","187,88","186,30","7,03M","-0,38%"
"04.12.2023","187,86","189,60","190,38","187,26","18,46M","-2,16%"
"01.12.2023","192,01","188,80","192,40","188,68","16,73M","1,73%"
"30.11.2023","188,75","188,89","189,24","188,28","7,56M","-0,42%"
"29.11.2023","189,54","189,16","189,99","189,02","8,41M","0,15%"
"28.11.2023","189,26","187,90","189,40","187,52","10,90M","1,33%"
"27.11.2023","186,77","186,56","186,80","185,93","6,32M","0,67%"
"24.11.2023","185,52","185,47","185,75","185,16","2,45M","0,52%"
"22.11.2023","184,56","185,47","185,72","184,27","4,34M","-0,43%"
"21.11.2023","185,35","185,57","186,12","185,07","7,32M","1,08%"
"20.11.2023","183,37","182,32","183,48","182,23","5,39M","-0,16%"
"17.11.2023","183,67","183,96","184,13","183,45","4,87M","-0,01%"
"16.11.2023","183,69","182,85","184,32","182,80","8,25M","1,13%"
"15.11.2023","181,64","182,03","182,18","181,31","4,91M","-0,26%"
